isbn10,isbn13,title,author,rank,weeks_on_list,amazon_url,listname,description,listpublisheddate
039333838X,9780393338386,THE BLIND SIDE,Michael Lewis,1,12,http://www.amazon.com/The-Blind-Side-Michael-Lewis/dp/B007CGTKYM?tag=NYTBS-20,paperback-nonfiction,"The evolving business of football, viewed through the rise of the left tackle Michael Oher.",2010-01-03
0143038257,9780143038252,THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin,2,151,http://www.amazon.com/Three-Cups-Tea-Readers-Edition/dp/0803733925?tag=NYTBS-20,paperback-nonfiction,A former climber builds schools in villages in Pakistan and Afghanistan.,2010-01-03
0060731338,9780060731335,FREAKONOMICS,Steven D Levitt and Stephen J Dubner,3,17,http://www.amazon.com/Freakonomics-Revised-Expanded-Economist-Everything/dp/0061234001?tag=NYTBS-20,paperback-nonfiction,A scholar and a journalist apply economic theory to nearly everything.,2010-01-03
1439168571,9781439168578,GLENN BECK’S ‘COMMON SENSE’,Glenn Beck,4,28,http://www.amazon.com/Glenn-Becks-Common-Sense-Control/dp/1439168571?tag=NYTBS-20,paperback-nonfiction,Thomas Paine-inspired thoughts on government.,2010-01-03
0316010669,9780316010665,BLINK,Malcolm Gladwell,5,114,http://www.amazon.com/Blink-The-Power-Thinking-Without/dp/0316010669?tag=NYTBS-20,paperback-nonfiction,Instinct in the workings of the mind.,2010-01-03
074324754X,9780743247542,THE GLASS CASTLE,Jeannette Walls,6,157,http://www.amazon.com/The-Glass-Castle-A-Memoir/dp/074324754X?tag=NYTBS-20,paperback-nonfiction,The author recalls a bizarre childhood.,2010-01-03
1400049628,9781400049622,THE ZOMBIE SURVIVAL GUIDE,Max Brooks,7,11,http://www.amazon.com/The-Zombie-Survival-Guide-Protection/dp/1400049628?tag=NYTBS-20,paperback-nonfiction,The comedy writer offers a plan for safeguarding yourself from the living dead.,2010-01-03
0316346624,9780316346627,TIPPING POINT,Malcolm Gladwell,8,272,http://www.amazon.com/The-Tipping-Point-Little-Difference-ebook/dp/B000OT8GD0?tag=NYTBS-20,paperback-nonfiction,"A study of social epidemics, otherwise known as fads.",2010-01-03
0806527285,9780806527284,I HOPE THEY SERVE BEER IN HELL,Tucker Max,9,116,http://www.amazon.com/Hope-They-Serve-Beer-Hell/dp/0806527285?tag=NYTBS-20,paperback-nonfiction,"Life as a self-absorbed, drunken womanizer.",2010-01-03
084991910X,9780849919107,SAME KIND OF DIFFERENT AS ME,Ron Hall and Denver Moore with Lynn Vincent,10,62,http://www.amazon.com/Same-Kind-Different-Modern-Day-International-ebook/dp/B007FZXJGA?tag=NYTBS-20,paperback-nonfiction,The unlikely friendship between a homeless drifter and a successful art dealer who meet at a shelter in Texas.,2010-01-03
031604427X,9780316044271,JULIE & JULIA,Julie Powell,11,18,http://www.amazon.com/Julie-Julia-Year-Cooking-Dangerously/dp/031604251X?tag=NYTBS-20,paperback-nonfiction,"A memoir of trying every recipe in ""Mastering the Art of French Cooking.""",2010-01-03
141654223X,9781416542230,BUT I TRUSTED YOU,Ann Rule,12,4,http://www.amazon.com/But-Trusted-You-Rules-Crime/dp/141654223X?tag=NYTBS-20,paperback-nonfiction,True-crime cases of trust betrayed.,2010-01-03
0143058525,9780143058526,"EAT, PRAY, LOVE",Elizabeth Gilbert,13,150,http://www.amazon.com/Eat-Pray-Love-Everything-Indonesia/dp/0143058525?tag=NYTBS-20,paperback-nonfiction,"A writer’s yearlong journey in search of self takes her to Italy, India and Indonesia.",2010-01-03
0316154687,9780316154680,WHEN YOU ARE ENGULFED IN FLAMES,David Sedaris,14,28,http://www.amazon.com/When-You-Are-Engulfed-Flames/dp/0316143472?tag=NYTBS-20,paperback-nonfiction,"Humor essays on middle age, mortality and giving up smoking.",2010-01-03
0143114964,9780143114963,IN DEFENSE OF FOOD,Michael Pollan,15,28,http://www.amazon.com/In-Defense-Food-Michael-Pollan/dp/B008YHD2U6?tag=NYTBS-20,paperback-nonfiction,A manifesto urges us to “Eat food. Not too much. Mostly plants.”,2010-01-03
1582346186,9781582346182,MY HORIZONTAL LIFE,Chelsea Handler,16,60,http://www.amazon.com/My-Horizontal-Life-Collection-One-Night/dp/1582346186?tag=NYTBS-20,paperback-nonfiction,A memoir of one-night stands.,2010-01-03
0307475018,9780307475015,MY LIFE IN FRANCE,Julia Child with Alex Prud’homme,17,21,http://www.amazon.com/My-Life-France-Julia-Child/dp/0307474852?tag=NYTBS-20,paperback-nonfiction,How Julia Child mastered the art of French cooking: a memoir written with her great-nephew.,2010-01-03
0061956430,9780061956430,IT'S BEGINNING TO LOOK A LOT LIKE ZOMBIES,Michael P Spradlin,18,1,http://www.amazon.com/Its-Beginning-Look-Like-Zombies/dp/0061956430?tag=NYTBS-20,paperback-nonfiction,"""Let''s Feast on Merry Gentlemen"" and other zombie Christmas carols.",2010-01-03
0143038583,9780143038580,THE OMNIVORE’S DILEMMA,Michael Pollan,19,116,http://www.amazon.com/The-Omnivores-Dilemma-Secrets-Readers/dp/0803735006?tag=NYTBS-20,paperback-nonfiction,Tracking food from soil to plate.,2010-01-03
0452295645,9780452295643,WHY WE SUCK,Denis Leary,20,7,http://www.amazon.com/Why-We-Suck-Staying-Stupid/dp/0452295645?tag=NYTBS-20,paperback-nonfiction,Sardonic essays from the actor and comedian.,2010-01-03
039333838X,9780393338386,THE BLIND SIDE,Michael Lewis,1,13,http://www.amazon.com/The-Blind-Side-Michael-Lewis/dp/B007CGTKYM?tag=NYTBS-20,paperback-nonfiction,"The evolving business of football, viewed through the rise of the left tackle Michael Oher.",2010-01-10
0143038257,9780143038252,THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin,2,152,http://www.amazon.com/Three-Cups-Tea-Readers-Edition/dp/0803733925?tag=NYTBS-20,paperback-nonfiction,A former climber builds schools in villages in Pakistan and Afghanistan.,2010-01-10
0060731338,9780060731335,FREAKONOMICS,Steven D Levitt and Stephen J Dubner,3,18,http://www.amazon.com/Freakonomics-Revised-Expanded-Economist-Everything/dp/0061234001?tag=NYTBS-20,paperback-nonfiction,A scholar and a journalist apply economic theory to nearly everything.,2010-01-10
0316010669,9780316010665,BLINK,Malcolm Gladwell,4,115,http://www.amazon.com/Blink-The-Power-Thinking-Without/dp/0316010669?tag=NYTBS-20,paperback-nonfiction,Instinct in the workings of the mind.,2010-01-10
0806532254,9780806532257,I HOPE THEY SERVE BEER IN HELL,Tucker Max,5,117,http://www.amazon.com/Hope-They-Serve-Beer-Hell/dp/0806527285?tag=NYTBS-20,paperback-nonfiction,"Life as a self-absorbed, drunken womanizer.",2010-01-10
0143038419,9780143038412,"EAT, PRAY, LOVE",Elizabeth Gilbert,6,151,http://www.amazon.com/Eat-Pray-Love-Everything-Indonesia/dp/0143058525?tag=NYTBS-20,paperback-nonfiction,"A writer’s yearlong journey in search of self takes her to Italy, India and Indonesia.",2010-01-10
1439168571,9781439168578,GLENN BECK’S ‘COMMON SENSE’,Glenn Beck,7,29,http://www.amazon.com/Glenn-Becks-Common-Sense-Control/dp/1439168571?tag=NYTBS-20,paperback-nonfiction,Thomas Paine-inspired thoughts on government.,2010-01-10
0316346624,9780316346627,TIPPING POINT,Malcolm Gladwell,8,273,http://www.amazon.com/The-Tipping-Point-Little-Difference-ebook/dp/B000OT8GD0?tag=NYTBS-20,paperback-nonfiction,"A study of social epidemics, otherwise known as fads.",2010-01-10
1400049628,9781400049622,THE ZOMBIE SURVIVAL GUIDE,Max Brooks,9,12,http://www.amazon.com/The-Zombie-Survival-Guide-Protection/dp/1400049628?tag=NYTBS-20,paperback-nonfiction,The comedy writer offers a plan for safeguarding yourself from the living dead.,2010-01-10
0446582182,9780446582186,I AM AMERICA (AND SO CAN YOU!),Stephen Colbert,10,1,http://www.amazon.com/Am-America-And-Can-You/dp/0446580503?tag=NYTBS-20,paperback-nonfiction,The wit and wisdom of the mock pundit of TV’s “Colbert Report.”,2010-01-10
074324754X,9780743247542,THE GLASS CASTLE,Jeannette Walls,11,158,http://www.amazon.com/The-Glass-Castle-A-Memoir/dp/074324754X?tag=NYTBS-20,paperback-nonfiction,The author recalls a bizarre childhood during which she and her siblings were constantly on the move.,2010-01-10
0143038583,9780143038580,THE OMNIVORE’S DILEMMA,Michael Pollan,12,117,http://www.amazon.com/The-Omnivores-Dilemma-Secrets-Readers/dp/0803735006?tag=NYTBS-20,paperback-nonfiction,Tracking food from soil to plate.,2010-01-10
031604427X,9780316044271,JULIE & JULIA,Julie Powell,13,19,http://www.amazon.com/Julie-Julia-Year-Cooking-Dangerously/dp/031604251X?tag=NYTBS-20,paperback-nonfiction,"A memoir of trying every recipe in ""Mastering the Art of French Cooking.""",2010-01-10
0316154687,9780316154680,WHEN YOU ARE ENGULFED IN FLAMES,David Sedaris,14,29,http://www.amazon.com/When-You-Are-Engulfed-Flames/dp/0316143472?tag=NYTBS-20,paperback-nonfiction,"Humor essays on middle age, mortality and giving up smoking.",2010-01-10
0452295645,9780452295643,WHY WE SUCK,Denis Leary,15,8,http://www.amazon.com/Why-We-Suck-Staying-Stupid/dp/0452295645?tag=NYTBS-20,paperback-nonfiction,Sardonic essays from the actor and comedian.,2010-01-10
0061956430,9780061956430,IT'S BEGINNING TO LOOK A LOT LIKE ZOMBIES,Michael P Spradlin,16,2,http://www.amazon.com/Its-Beginning-Look-Like-Zombies/dp/0061956430?tag=NYTBS-20,paperback-nonfiction,"""Let''s Feast on Merry Gentlemen"" and other zombie Christmas carols.",2010-01-10
0143114964,9780143114963,IN DEFENSE OF FOOD,Michael Pollan,17,29,http://www.amazon.com/In-Defense-Food-Michael-Pollan/dp/B008YHD2U6?tag=NYTBS-20,paperback-nonfiction,A manifesto urges us to “Eat food. Not too much. Mostly plants.”,2010-01-10
1582346186,9781582346182,MY HORIZONTAL LIFE,Chelsea Handler,18,61,http://www.amazon.com/My-Horizontal-Life-Collection-One-Night/dp/1582346186?tag=NYTBS-20,paperback-nonfiction,A memoir of one-night stands.,2010-01-10
0316044695,9780316044691,LONE SURVIVOR,Marcus Luttrell with Patrick Robinson,19,54,http://www.amazon.com/Lone-Survivor-Eyewitness-Account-Operation/dp/0316067601?tag=NYTBS-20,paperback-nonfiction,The harrowing story of a Navy Seals operation in Afghanistan.,2010-01-10
141654223X,9781416542230,BUT I TRUSTED YOU,Ann Rule,20,5,http://www.amazon.com/But-Trusted-You-Rules-Crime/dp/141654223X?tag=NYTBS-20,paperback-nonfiction,True-crime cases of trust betrayed.,2010-01-10
039333838X,9780393338386,THE BLIND SIDE,Michael Lewis,1,14,http://www.amazon.com/The-Blind-Side-Michael-Lewis/dp/B007CGTKYM?tag=NYTBS-20,paperback-nonfiction,"The evolving business of football, viewed through the rise of the left tackle Michael Oher.",2010-01-17
0143038257,9780143038252,THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin,2,153,http://www.amazon.com/Three-Cups-Tea-Readers-Edition/dp/0803733925?tag=NYTBS-20,paperback-nonfiction,A former climber builds schools in villages in Pakistan and Afghanistan.,2010-01-17
0060731338,9780060731335,FREAKONOMICS,Steven D Levitt and Stephen J Dubner,3,19,http://www.amazon.com/Freakonomics-Revised-Expanded-Economist-Everything/dp/0061234001?tag=NYTBS-20,paperback-nonfiction,A scholar and a journalist apply economic theory to nearly everything.,2010-01-17
1416596364,9781416596363,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler,4,1,http://www.amazon.com/Are-You-There-Vodka-Chelsea-ebook/dp/B000UZQJ32?tag=NYTBS-20,paperback-nonfiction,Humorous personal essays from the comedian.,2010-01-17
0316010669,9780316010665,BLINK,Malcolm Gladwell,5,116,http://www.amazon.com/Blink-The-Power-Thinking-Without/dp/0316010669?tag=NYTBS-20,paperback-nonfiction,Instinct in the workings of the mind.,2010-01-17
0806532254,9780806532257,I HOPE THEY SERVE BEER IN HELL,Tucker Max,6,118,http://www.amazon.com/Hope-They-Serve-Beer-Hell/dp/0806527285?tag=NYTBS-20,paperback-nonfiction,"Life as a self-absorbed, drunken womanizer.",2010-01-17
0316346624,9780316346627,TIPPING POINT,Malcolm Gladwell,7,274,http://www.amazon.com/The-Tipping-Point-Little-Difference-ebook/dp/B000OT8GD0?tag=NYTBS-20,paperback-nonfiction,"A study of social epidemics, otherwise known as fads.",2010-01-17
074324754X,9780743247542,THE GLASS CASTLE,Jeannette Walls,8,159,http://www.amazon.com/The-Glass-Castle-A-Memoir/dp/074324754X?tag=NYTBS-20,paperback-nonfiction,The author recalls a bizarre childhood during which she and her siblings were constantly on the move.,2010-01-17
141654223X,9781416542230,BUT I TRUSTED YOU,Ann Rule,9,6,http://www.amazon.com/But-Trusted-You-Rules-Crime/dp/141654223X?tag=NYTBS-20,paperback-nonfiction,True-crime cases of trust betrayed.,2010-01-17
1400049628,9781400049622,THE ZOMBIE SURVIVAL GUIDE,Max Brooks,10,13,http://www.amazon.com/The-Zombie-Survival-Guide-Protection/dp/1400049628?tag=NYTBS-20,paperback-nonfiction,The comedy writer offers a plan for safeguarding yourself from the living dead.,2010-01-17
0143116800,9780143116806,LORDS OF FINANCE,Liaquat Ahamed,11,1,http://www.amazon.com/Lords-Finance-Bankers-Broke-World/dp/159420182X?tag=NYTBS-20,paperback-nonfiction,How four central bankers pushed the global economy into the Great Depression.,2010-01-17
0307474852,9780307474858,MY LIFE IN FRANCE,Julia Child with Alex Prud’homme,12,22,http://www.amazon.com/My-Life-France-Julia-Child/dp/0307474852?tag=NYTBS-20,paperback-nonfiction,How Julia Child mastered the art of French cooking: a memoir.,2010-01-17
084991910X,9780849919107,SAME KIND OF DIFFERENT AS ME,Ron Hall and Denver Moore with Lynn Vincent,13,63,http://www.amazon.com/Same-Kind-Different-Modern-Day-International-ebook/dp/B007FZXJGA?tag=NYTBS-20,paperback-nonfiction,The unlikely friendship between a homeless drifter and a successful art dealer who meet at a shelter in Texas.,2010-01-17
0143038583,9780143038580,THE OMNIVORE’S DILEMMA,Michael Pollan,14,118,http://www.amazon.com/The-Omnivores-Dilemma-Secrets-Readers/dp/0803735006?tag=NYTBS-20,paperback-nonfiction,Tracking food from soil to plate.,2010-01-17
1582346186,9781582346182,MY HORIZONTAL LIFE,Chelsea Handler,15,62,http://www.amazon.com/My-Horizontal-Life-Collection-One-Night/dp/1582346186?tag=NYTBS-20,paperback-nonfiction,A memoir of one-night stands.,2010-01-17
0800759494,9780800759490,90 MINUTES IN HEAVEN,Don Piper with Cecil Murphey,16,164,http://www.amazon.com/Selections-90-Minutes-Heaven-Inspiring-ebook/dp/B001MV7JFU?tag=NYTBS-20,paperback-nonfiction,A minister on the other­worldly experience he had after an accident.,2010-01-17
031604251X,9780316042512,JULIE & JULIA,Julie Powell,17,20,http://www.amazon.com/Julie-Julia-Year-Cooking-Dangerously/dp/031604251X?tag=NYTBS-20,paperback-nonfiction,"A memoir of trying every recipe in ""Mastering the Art of French Cooking.""",2010-01-17
0143038419,9780143038412,"EAT, PRAY, LOVE",Elizabeth Gilbert,18,152,http://www.amazon.com/Eat-Pray-Love-Everything-Indonesia/dp/0143058525?tag=NYTBS-20,paperback-nonfiction,"A writer’s yearlong journey in search of self takes her to Italy, India and Indonesia.",2010-01-17
0316154687,9780316154680,WHEN YOU ARE ENGULFED IN FLAMES,David Sedaris,19,30,http://www.amazon.com/When-You-Are-Engulfed-Flames/dp/0316143472?tag=NYTBS-20,paperback-nonfiction,"Humor essays on middle age, mortality and giving up smoking.",2010-01-17
0143114964,9780143114963,IN DEFENSE OF FOOD,Michael Pollan,20,30,http://www.amazon.com/In-Defense-Food-Michael-Pollan/dp/B008YHD2U6?tag=NYTBS-20,paperback-nonfiction,A manifesto urges us to “Eat food. Not too much. Mostly plants.”,2010-01-17
039333838X,9780393338386,THE BLIND SIDE,Michael Lewis,1,15,http://www.amazon.com/The-Blind-Side-Michael-Lewis/dp/B007CGTKYM?tag=NYTBS-20,paperback-nonfiction,"The evolving business of football, viewed through the rise of the left tackle Michael Oher.",2010-01-24
0143038257,9780143038252,THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin,2,154,http://www.amazon.com/Three-Cups-Tea-Readers-Edition/dp/0803733925?tag=NYTBS-20,paperback-nonfiction,A former climber builds schools in villages in Pakistan and Afghanistan.,2010-01-24
0143038419,9780143038412,"EAT, PRAY, LOVE",Elizabeth Gilbert,3,153,http://www.amazon.com/Eat-Pray-Love-Everything-Indonesia/dp/0143058525?tag=NYTBS-20,paperback-nonfiction,"A writer’s yearlong journey in search of self takes her to Italy, India and Indonesia.",2010-01-24
1416596364,9781416596363,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler,4,2,http://www.amazon.com/Are-You-There-Vodka-Chelsea-ebook/dp/B000UZQJ32?tag=NYTBS-20,paperback-nonfiction,Humorous personal essays from the comedian.,2010-01-24
0806532254,9780806532257,I HOPE THEY SERVE BEER IN HELL,Tucker Max,5,119,http://www.amazon.com/Hope-They-Serve-Beer-Hell/dp/0806527285?tag=NYTBS-20,paperback-nonfiction,"Life as a self-absorbed, drunken womanizer.",2010-01-24
0060731338,9780060731335,FREAKONOMICS,Steven D Levitt and Stephen J Dubner,6,20,http://www.amazon.com/Freakonomics-Revised-Expanded-Economist-Everything/dp/0061234001?tag=NYTBS-20,paperback-nonfiction,A scholar and a journalist apply economic theory to nearly everything.,2010-01-24
0316346624,9780316346627,TIPPING POINT,Malcolm Gladwell,7,275,http://www.amazon.com/The-Tipping-Point-Little-Difference-ebook/dp/B000OT8GD0?tag=NYTBS-20,paperback-nonfiction,"A study of social epidemics, otherwise known as fads.",2010-01-24
074324754X,9780743247542,THE GLASS CASTLE,Jeannette Walls,8,160,http://www.amazon.com/The-Glass-Castle-A-Memoir/dp/074324754X?tag=NYTBS-20,paperback-nonfiction,The author recalls a bizarre childhood during which she and her siblings were constantly on the move.,2010-01-24
0316010669,9780316010665,BLINK,Malcolm Gladwell,9,117,http://www.amazon.com/Blink-The-Power-Thinking-Without/dp/0316010669?tag=NYTBS-20,paperback-nonfiction,Instinct in the workings of the mind.,2010-01-24
0143038583,9780143038580,THE OMNIVORE’S DILEMMA,Michael Pollan,10,119,http://www.amazon.com/The-Omnivores-Dilemma-Secrets-Readers/dp/0803735006?tag=NYTBS-20,paperback-nonfiction,Tracking food from soil to plate.,2010-01-24
0143114964,9780143114963,IN DEFENSE OF FOOD,Michael Pollan,11,31,http://www.amazon.com/In-Defense-Food-Michael-Pollan/dp/B008YHD2U6?tag=NYTBS-20,paperback-nonfiction,A manifesto urges us to “Eat food. Not too much. Mostly plants.”,2010-01-24
0307474852,9780307474858,MY LIFE IN FRANCE,Julia Child with Alex Prud’homme,12,23,http://www.amazon.com/My-Life-France-Julia-Child/dp/0307474852?tag=NYTBS-20,paperback-nonfiction,How Julia Child mastered the art of French cooking: a memoir.,2010-01-24
084991910X,9780849919107,SAME KIND OF DIFFERENT AS ME,Ron Hall and Denver Moore with Lynn Vincent,13,64,http://www.amazon.com/Same-Kind-Different-Modern-Day-International-ebook/dp/B007FZXJGA?tag=NYTBS-20,paperback-nonfiction,The unlikely friendship between a homeless drifter and a successful art dealer who meet at a shelter in Texas.,2010-01-24
1582346186,9781582346182,MY HORIZONTAL LIFE,Chelsea Handler,14,63,http://www.amazon.com/My-Horizontal-Life-Collection-One-Night/dp/1582346186?tag=NYTBS-20,paperback-nonfiction,A memoir of one-night stands.,2010-01-24
0316044695,9780316044691,LONE SURVIVOR,Marcus Luttrell with Patrick Robinson,15,55,http://www.amazon.com/Lone-Survivor-Eyewitness-Account-Operation/dp/0316067601?tag=NYTBS-20,paperback-nonfiction,The harrowing story of a Navy Seals operation.,2010-01-24
0800759494,9780800759490,90 MINUTES IN HEAVEN,Don Piper with Cecil Murphey,16,165,http://www.amazon.com/Selections-90-Minutes-Heaven-Inspiring-ebook/dp/B001MV7JFU?tag=NYTBS-20,paperback-nonfiction,A minister on the other­worldly experience he had after an accident.,2010-01-24
1400049628,9781400049622,THE ZOMBIE SURVIVAL GUIDE,Max Brooks,17,14,http://www.amazon.com/The-Zombie-Survival-Guide-Protection/dp/1400049628?tag=NYTBS-20,paperback-nonfiction,The comedy writer offers a plan for safeguarding yourself from the living dead.,2010-01-24
031604427X,9780316044271,JULIE & JULIA,Julie Powell,18,21,http://www.amazon.com/Julie-Julia-Year-Cooking-Dangerously/dp/031604251X?tag=NYTBS-20,paperback-nonfiction,"A memoir of trying every recipe in ""Mastering the Art of French Cooking.""",2010-01-24
0143116177,9780143116172,THE ASCENT OF MONEY,Niall Ferguson,19,7,http://www.amazon.com/The-Ascent-Money-Financial-History/dp/1594201927?tag=NYTBS-20,paperback-nonfiction,A financial history of the world.,2010-01-24
031242924X,9780312429249,THE VALUE OF NOTHING,Raj Patel,20,1,http://www.amazon.com/The-Value-Nothing-Redefine-Democracy/dp/031242924X?tag=NYTBS-20,paperback-nonfiction,"How we can rebalance society, limit markets and develop new ways of seeing the world.",2010-01-24
039333838X,9780393338386,THE BLIND SIDE,Michael Lewis,1,16,http://www.amazon.com/The-Blind-Side-Michael-Lewis/dp/B007CGTKYM?tag=NYTBS-20,paperback-nonfiction,"The evolving business of football, viewed through the rise of the left tackle Michael Oher.",2010-01-31
0143038257,9780143038252,THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin,2,155,http://www.amazon.com/Three-Cups-Tea-Readers-Edition/dp/0803733925?tag=NYTBS-20,paperback-nonfiction,A former climber builds schools in villages in Pakistan and Afghanistan.,2010-01-31
0143038419,9780143038412,"EAT, PRAY, LOVE",Elizabeth Gilbert,3,154,http://www.amazon.com/Eat-Pray-Love-Everything-Indonesia/dp/0143058525?tag=NYTBS-20,paperback-nonfiction,"A writer’s yearlong journey in search of self takes her to Italy, India and Indonesia.",2010-01-31
1416596364,9781416596363,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler,4,3,http://www.amazon.com/Are-You-There-Vodka-Chelsea-ebook/dp/B000UZQJ32?tag=NYTBS-20,paperback-nonfiction,Humorous personal essays from the comedian.,2010-01-31
074324754X,9780743247542,THE GLASS CASTLE,Jeannette Walls,5,161,http://www.amazon.com/The-Glass-Castle-A-Memoir/dp/074324754X?tag=NYTBS-20,paperback-nonfiction,The author recalls a bizarre childhood during which she and her siblings were constantly on the move.,2010-01-31
0806532254,9780806532257,I HOPE THEY SERVE BEER IN HELL,Tucker Max,6,120,http://www.amazon.com/Hope-They-Serve-Beer-Hell/dp/0806527285?tag=NYTBS-20,paperback-nonfiction,"Life as a self-absorbed, drunken womanizer.",2010-01-31
0316346624,9780316346627,TIPPING POINT,Malcolm Gladwell,7,276,http://www.amazon.com/The-Tipping-Point-Little-Difference-ebook/dp/B000OT8GD0?tag=NYTBS-20,paperback-nonfiction,"A study of social epidemics, otherwise known as fads.",2010-01-31
0060731338,9780060731335,FREAKONOMICS,Steven D Levitt and Stephen J Dubner,8,21,http://www.amazon.com/Freakonomics-Revised-Expanded-Economist-Everything/dp/0061234001?tag=NYTBS-20,paperback-nonfiction,A scholar and a journalist apply economic theory to nearly everything.,2010-01-31
0143038583,9780143038580,THE OMNIVORE’S DILEMMA,Michael Pollan,9,120,http://www.amazon.com/The-Omnivores-Dilemma-Secrets-Readers/dp/0803735006?tag=NYTBS-20,paperback-nonfiction,Tracking food from soil to plate.,2010-01-31
0316010669,9780316010665,BLINK,Malcolm Gladwell,10,118,http://www.amazon.com/Blink-The-Power-Thinking-Without/dp/0316010669?tag=NYTBS-20,paperback-nonfiction,Instinct in the workings of the mind.,2010-01-31
0143114964,9780143114963,IN DEFENSE OF FOOD,Michael Pollan,11,32,http://www.amazon.com/In-Defense-Food-Michael-Pollan/dp/B008YHD2U6?tag=NYTBS-20,paperback-nonfiction,A manifesto urges us to “Eat food. Not too much. Mostly plants.”,2010-01-31
084991910X,9780849919107,SAME KIND OF DIFFERENT AS ME,Ron Hall and Denver Moore with Lynn Vincent,12,65,http://www.amazon.com/Same-Kind-Different-Modern-Day-International-ebook/dp/B007FZXJGA?tag=NYTBS-20,paperback-nonfiction,The unlikely friendship between a homeless drifter and a successful art dealer who meet at a shelter in Texas.,2010-01-31
1582346186,9781582346182,MY HORIZONTAL LIFE,Chelsea Handler,13,64,http://www.amazon.com/My-Horizontal-Life-Collection-One-Night/dp/1582346186?tag=NYTBS-20,paperback-nonfiction,A memoir of one-night stands.,2010-01-31
0307474852,9780307474858,MY LIFE IN FRANCE,Julia Child with Alex Prud’homme,14,24,http://www.amazon.com/My-Life-France-Julia-Child/dp/0307474852?tag=NYTBS-20,paperback-nonfiction,How Julia Child mastered the art of French cooking: a memoir.,2010-01-31
031242924X,9780312429249,THE VALUE OF NOTHING,Raj Patel,15,2,http://www.amazon.com/The-Value-Nothing-Redefine-Democracy/dp/031242924X?tag=NYTBS-20,paperback-nonfiction,"How we can rebalance society, limit markets and develop new ways of seeing the world.",2010-01-31
0800759494,9780800759490,90 MINUTES IN HEAVEN,Don Piper with Cecil Murphey,16,166,http://www.amazon.com/Selections-90-Minutes-Heaven-Inspiring-ebook/dp/B001MV7JFU?tag=NYTBS-20,paperback-nonfiction,A minister on the other­worldly experience he had after an accident.,2010-01-31
0547248237,9780547248233,ANIMALS MAKE US HUMAN,Temple Grandin and Catherine Johnson,17,1,http://www.amazon.com/Animals-Make-Us-Human-Creating/dp/0547248237?tag=NYTBS-20,paperback-nonfiction,Helping animals have better lives.,2010-01-31
0316044695,9780316044691,LONE SURVIVOR,Marcus Luttrell with Patrick Robinson,18,56,http://www.amazon.com/Lone-Survivor-Eyewitness-Account-Operation/dp/0316067601?tag=NYTBS-20,paperback-nonfiction,The harrowing story of a Navy Seals operation.,2010-01-31
031604427X,9780316044271,JULIE & JULIA,Julie Powell,19,22,http://www.amazon.com/Julie-Julia-Year-Cooking-Dangerously/dp/031604251X?tag=NYTBS-20,paperback-nonfiction,"A memoir of trying every recipe in ""Mastering the Art of French Cooking.""",2010-01-31
1400049628,9781400049622,THE ZOMBIE SURVIVAL GUIDE,Max Brooks,20,15,http://www.amazon.com/The-Zombie-Survival-Guide-Protection/dp/1400049628?tag=NYTBS-20,paperback-nonfiction,The comedy writer offers a plan for safeguarding yourself from the living dead.,2010-01-31
039333838X,9780393338386,THE BLIND SIDE,Michael Lewis,1,17,http://www.amazon.com/The-Blind-Side-Michael-Lewis/dp/B007CGTKYM?tag=NYTBS-20,paperback-nonfiction,"The evolving business of football, viewed through the rise of the left tackle Michael Oher.",2010-02-07
0143038257,9780143038252,THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin,2,156,http://www.amazon.com/Three-Cups-Tea-Readers-Edition/dp/0803733925?tag=NYTBS-20,paperback-nonfiction,A former climber builds schools in villages in Pakistan and Afghanistan.,2010-02-07
074324754X,9780743247542,THE GLASS CASTLE,Jeannette Walls,3,162,http://www.amazon.com/The-Glass-Castle-A-Memoir/dp/074324754X?tag=NYTBS-20,paperback-nonfiction,The author recalls a bizarre childhood during which she and her siblings were constantly on the move.,2010-02-07
0143038419,9780143038412,"EAT, PRAY, LOVE",Elizabeth Gilbert,4,155,http://www.amazon.com/Eat-Pray-Love-Everything-Indonesia/dp/0143058525?tag=NYTBS-20,paperback-nonfiction,"A writer’s yearlong journey in search of self takes her to Italy, India and Indonesia.",2010-02-07
1416596364,9781416596363,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler,5,4,http://www.amazon.com/Are-You-There-Vodka-Chelsea-ebook/dp/B000UZQJ32?tag=NYTBS-20,paperback-nonfiction,Humorous personal essays from the comedian.,2010-02-07
0806532254,9780806532257,I HOPE THEY SERVE BEER IN HELL,Tucker Max,6,121,http://www.amazon.com/Hope-They-Serve-Beer-Hell/dp/0806527285?tag=NYTBS-20,paperback-nonfiction,"Life as a self-absorbed, drunken womanizer.",2010-02-07
